x,y
-0.142338,0.175924
-0.191137,-0.039048
-0.499222,-0.390072
-0.254219,-0.351161
-0.430464,0.420927
-0.343211,-0.354091
0.115207,0.470092
-0.283425,-0.598727
-0.335704,0.166219
-0.395489,-0.492065
-1.259224,0.015519
-0.330119,0.501038
0.311960,0.537477
-0.585559,-0.021012
-1.003418,-0.226920
-0.075594,0.585818
-0.385693,-0.374325
-0.139592,-0.197897
0.249062,0.420377
-0.262551,0.190023
0.087649,-0.348140
-0.259621,-0.093341
-0.537400,-0.384945
-0.093356,0.754463
-1.006073,-0.218223
-0.374157,-0.099658
-1.054964,0.055528
-0.997742,0.243309
-0.313913,0.608432
-0.140690,-0.657231
-0.446669,-0.535371
-0.976409,0.201010
-0.436964,-0.407926
-0.397778,0.294031
-0.456099,-0.010758
-1.140843,-0.225730
0.188543,0.426878
0.033998,-0.198630
-0.155889,0.749519
-0.481185,0.502594
-1.080233,-0.054521
-0.426069,0.103961
-0.632344,0.287164
0.081515,0.488128
0.123356,-0.471648
-1.101108,-0.191214
-0.689840,0.236167
-0.534196,-0.143056
-0.569994,0.317194
0.283761,-0.296136
-0.096469,-0.077960
0.356365,0.199087
-0.298441,0.418088
-0.289468,0.207602
-0.341014,-0.242119
-1.190191,-0.086749
-1.203833,-0.058275
-0.115238,0.013230
-0.158544,0.183432
0.081423,-0.200827
-1.128666,0.073565
-0.525407,0.106800
-0.196814,-0.291009
-0.103427,0.198813
-0.890896,0.219871
-0.784143,0.119251
-0.411878,0.032914
-0.340739,0.063585
0.031251,-0.575198
0.274422,0.047288
-0.439894,0.029801
-0.026887,-0.589663
-0.522111,0.061754
-0.876431,0.184256
0.135990,0.366634
0.125553,-0.170064
-0.079073,-0.184988
-0.234077,-0.069445
-0.066805,-0.082171
-0.440626,0.085742
-1.071261,0.009293
-0.316477,-0.580325
-0.008209,-0.167318
-0.559648,0.443724
-0.167608,-0.788156
-0.554979,-0.029160
-0.511673,-0.602206
-0.874233,-0.155324
-0.165777,0.751076
-0.226020,-0.107532
-0.196997,-0.589480
-0.150304,-0.320307
-0.538316,0.454344
-0.944914,0.061937
-0.566698,0.135640
0.127934,0.469451
-0.486862,-0.212546
0.141392,0.512207
0.145146,-0.130329
-0.420759,0.066607
-0.168798,-0.018998
-0.108829,0.797769
-0.593890,-0.257134
0.341258,-0.191763
-1.335490,-0.001511
0.248054,-0.117512
0.055971,-0.126667
-0.339366,0.090777
-0.504349,-0.358028
-0.733329,0.062853
0.173894,0.318293
-0.673910,-0.046190
-0.139683,0.602023
0.001221,0.405820
0.100558,-0.184530
-0.228675,0.021744
0.341075,0.329463
0.250069,-0.309137
0.311411,-0.306299
0.096530,-0.106616
0.031159,-0.192953
0.268746,0.187094
0.158971,0.489502
-0.937040,-0.175832
-0.539140,-0.455809
-0.442457,0.083178
-0.075594,0.709143
-0.214667,0.105426
-0.263924,0.409299
-0.642872,-0.247429
0.179479,0.005997
-0.121281,0.638554
-0.147923,-0.575838
-0.362072,-0.108081
-0.319773,0.164022
-1.297220,0.000595
-0.031556,0.194510
-1.048921,0.069628
-0.831660,-0.016984
0.237983,-0.335139
-0.235267,-0.357570
-0.215583,-0.588839
-0.209082,0.174001
-0.183996,0.502777
-0.856105,-0.002335
-0.353374,-0.546724
0.221137,-0.448119
-0.125584,-0.631138
-0.010315,0.171712
-0.107181,-0.197348
0.201636,-0.072832
-0.208991,-0.712165
0.136906,0.193869
-0.881100,-0.089862
0.002503,-0.359584
-0.442549,0.558260
-0.982635,0.010666
-0.989685,0.051958
-0.562120,0.221427
-0.241951,-0.033189
0.363140,-0.145436
-0.358684,-0.213736
-0.147191,-0.537935
-0.711173,-0.199087
-1.069704,-0.186819
-0.876614,-0.083178
-0.331400,0.228843
0.011292,-0.016984
0.036012,-0.134907
-0.365184,-0.585910
-0.365734,-0.280847
-0.981903,0.193503
-0.247536,0.416257
0.048189,0.505615
-0.219703,0.120258
-0.669698,-0.087024
-0.168340,-0.434660
0.128666,-0.221335
-1.285318,-0.030442
-0.647542,0.251915
-0.094638,-0.368191
-1.213172,0.024857
-0.270974,0.277001
-0.234443,-0.636906
-0.588672,0.292840
-0.917081,-0.100848
-0.037782,0.101306
-0.492080,-0.595981
-0.609912,0.261895
-0.079806,-0.120991
-0.842280,0.132527
-0.559374,0.203391
-0.575671,-0.370571
-0.436506,-0.055803
-0.968352,-0.144520
0.155858,0.500214
-0.389813,0.186728
-0.330119,0.354274
-0.486770,0.451140
-0.803369,0.093249
-0.214209,-0.576754
-0.254311,0.600467
-0.475875,-0.472655
-0.543992,0.111560
-0.002441,0.206503
-1.206671,0.122181
-0.451521,0.523377
0.156957,0.244133
-0.352092,0.272973
0.243568,0.277367
-0.227760,0.015244
-0.329844,0.578860
0.030885,0.262993
0.015320,-0.100574
0.208228,-0.350978
-0.349071,-0.072192
-0.209540,-0.747414
-0.100223,0.641026
-0.482467,-0.359310
-0.201025,0.281945
-0.279397,0.560274
-1.083346,0.067339
0.119694,-0.034288
-0.359783,-0.511200
-0.603046,0.298883
-0.621632,-0.292016
0.210242,-0.016892
-0.557634,0.389706
-1.203925,-0.057726
0.302622,0.244591
0.116581,0.076861
-1.054781,0.085650
-1.146886,-0.108173
-0.802637,0.010483
0.315806,0.082995
-0.115879,0.178396
-0.626850,0.229209
-0.252937,0.621433
-0.036225,0.277276
0.104862,-0.550752
0.168401,-0.200919
-0.981262,0.129963
-0.498306,-0.195608
-0.212012,-0.041063
-0.196081,-0.443632
0.065584,-0.415616
-0.002258,-0.623997
-0.463149,0.355739
0.069613,-0.423948
-0.284066,0.384945
