t,x1,y1,z1,x2,y2,z2,x3,y3,z3
600.000000,-0.001200,0.001207,0.000000,1.870237,-3.343264,0.000000,3.316954,1.779218,0.000000
610.000000,-0.001219,0.001221,0.000000,3.654820,0.063189,0.000000,-0.021464,3.703270,0.000000
620.000000,-0.001242,0.001245,0.000000,3.466951,-3.293344,0.000000,3.297189,3.442000,0.000000
630.000000,-0.001255,0.001263,0.000000,0.780582,1.261373,0.000000,-1.268274,0.845990,0.000000
640.000000,-0.001282,0.001283,0.000000,4.302961,-2.518328,0.000000,2.515915,4.303874,0.000000
650.000000,-0.001298,0.001307,0.000000,0.104626,-2.548814,0.000000,2.539592,0.098579,0.000000
660.000000,-0.001321,0.001322,0.000000,4.307730,-1.250142,0.000000,1.238399,4.311774,0.000000
670.000000,-0.001341,0.001346,0.000000,2.229006,-3.564737,0.000000,3.559776,2.234338,0.000000
680.000000,-0.001358,0.001362,0.000000,3.113986,0.359343,0.000000,-0.367889,3.118175,0.000000
690.000000,-0.001382,0.001385,0.000000,3.623903,-3.326301,0.000000,3.321489,3.626340,0.000000
700.000000,-0.001394,0.001405,0.000000,-0.803341,0.381933,0.000000,-0.448568,-0.763045,0.000000
710.000000,-0.001422,0.001423,0.000000,4.272801,-2.400839,0.000000,2.412341,4.276189,0.000000
720.000000,-0.001439,0.001448,0.000000,0.706533,-3.153519,0.000000,3.112553,0.649007,0.000000
730.000000,-0.001460,0.001462,0.000000,4.023699,-0.963228,0.000000,1.015841,4.060566,0.000000
740.000000,-0.001481,0.001486,0.000000,2.582204,-3.732128,0.000000,3.729921,2.509779,0.000000
750.000000,-0.001497,0.001502,0.000000,2.246905,0.783414,0.000000,-0.684479,2.446044,0.000000
760.000000,-0.001522,0.001525,0.000000,3.761586,-3.282392,0.000000,3.341294,3.701045,0.000000
770.000000,-0.001535,0.001548,0.000000,-0.826636,-1.539106,0.000000,1.097581,-0.973897,0.000000
780.000000,-0.001562,0.001563,0.000000,4.185039,-2.171576,0.000000,2.320447,4.187591,0.000000
790.000000,-0.001580,0.001588,0.000000,1.271009,-3.611606,0.000000,3.489658,1.015732,0.000000
800.000000,-0.001599,0.001602,0.000000,3.591098,-0.534482,0.000000,0.794212,3.769097,0.000000
810.000000,-0.001622,0.001626,0.000000,2.887040,-3.826872,0.000000,3.861545,2.675300,0.000000
820.000000,-0.001635,0.001642,0.000000,0.801882,1.124845,0.000000,-0.976933,1.593450,0.000000
830.000000,-0.001662,0.001664,0.000000,3.836065,-3.172700,0.000000,3.334508,3.722097,0.000000
840.000000,-0.001677,0.001688,0.000000,-0.241917,-2.638411,0.000000,2.144190,-0.597838,0.000000
850.000000,-0.001701,0.001703,0.000000,4.022078,-1.901604,0.000000,2.150696,4.056152,0.000000
860.000000,-0.001720,0.001728,0.000000,1.651159,-3.910882,0.000000,3.814781,1.376838,0.000000
870.000000,-0.001738,0.001742,0.000000,3.080053,-0.122073,0.000000,0.396439,3.323907,0.000000
880.000000,-0.001762,0.001766,0.000000,3.025107,-3.889233,0.000000,3.931713,2.881788,0.000000
890.000000,-0.001773,0.001785,0.000000,-0.755377,0.477875,0.000000,-0.940544,-0.159125,0.000000
900.000000,-0.001802,0.001804,0.000000,3.798905,-3.104096,0.000000,3.193014,3.760037,0.000000
910.000000,-0.001818,0.001828,0.000000,0.122367,-3.197551,0.000000,3.044949,-0.024998,0.000000
920.000000,-0.001841,0.001843,0.000000,3.816756,-1.695505,0.000000,1.784113,3.851215,0.000000
930.000000,-0.001861,0.001867,0.000000,1.837453,-4.111043,0.000000,4.086526,1.772712,0.000000
940.000000,-0.001877,0.001882,0.000000,2.505495,0.261304,0.000000,-0.200745,2.596410,0.000000
950.000000,-0.001902,0.001906,0.000000,3.074178,-3.927309,0.000000,3.926095,3.063751,0.000000
960.000000,-0.001915,0.001927,0.000000,-1.143169,-0.987190,0.000000,0.899906,-1.146854,0.000000
970.000000,-0.001942,0.001944,0.000000,3.723729,-2.989705,0.000000,2.980354,3.736097,0.000000
980.000000,-0.001959,0.001968,0.000000,0.441724,-3.647137,0.000000,3.635218,0.446085,0.000000
990.000000,-0.001980,0.001983,0.000000,3.546282,-1.380089,0.000000,1.359149,3.557536,0.000000
1000.000000,-0.002001,0.002007,0.000000,2.016718,-4.269820,0.000000,4.257795,2.035841,0.000000
